Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-01514,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Fuel island,1/15/2026,7:14 AM,865654,VSA,Employee Incident,No,1/16/2025,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Wet step caused employee to slip and fall in Fuel island.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01302,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Breakroom,11/22/2025,7:56 AM,936866,Mgr Customer Ops,Customer Incident,No,11/24/2024,Chemical splash during cleaning,No Physical Injury,Cleaning product container failure in Breakroom caused unintended chemical contact.,Training Deficiency,Employee had not completed updated safety training module.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-00152,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Fuel island,2/9/2025,8:35 PM,541467,Mechanic B,Property Damage,No,2/12/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Wet conditions in Fuel island led to slip incident. Employee followed reporting protocols.,Failure to Identify Hazards,Design limitations combined with lack of environmental awareness.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00636,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,6/8/2025,6:49 AM,706224,Fleet Coordinator,Customer Incident,No,6/9/2024,Tripped over equipment,Other of Multiple Body Parts,Employee tripped over equipment left in walkway in Fuel island.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01385,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Shuttle staging area,12/13/2025,9:56 AM,180595,Lot Attendant,Employee Incident,No,12/13/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Sustained repetitive tasks in Shuttle staging area led to cumulative strain injury.,Failure to Identify Hazards,Hazard present for extended period without being flagged.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00466,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Customer pickup zone,4/29/2025,10:14 AM,791174,Mechanic B,Vehicle Incident (Motor Vehicle Accident),Yes,4/30/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Wet step caused employee to slip and fall in Customer pickup zone.,Standard Work Procedures Insufficient or Non-existent,SWP not posted at point of use.,"Why was fall from vehicle step not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01123,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Employee entrance,10/8/2025,6:35 AM,188501,Counter Sales Rep,Vehicle Incident (Motor Vehicle Accident),Yes,10/9/2024,Tripped over equipment,Other of Multiple Body Parts,Employee stumbled over hose/equipment in Employee entrance during regular duties.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01495,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Service lot,1/9/2026,11:35 AM,156964,Lot Attendant,Vehicle Incident (Motor Vehicle Accident),Yes,1/9/2025,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Service lot led to splash exposure.,Unpredictable event (motor vehicle accident another driver at fault),Other vehicle failed to yield right of way.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00614,EASTERN DIVISION,NORTHEAST ZONE,CHICAGO AP,O'HARE INTL AP (01850-22),AIRPORT,Customer pickup zone,6/2/2025,8:56 PM,345011,Mechanic B,Employee Incident,No,6/4/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Customer pickup zone. Reported immediately and first aid administered on site.,Customer/3rd Party/Vendor related incident,Vendor equipment left unsecured in shared workspace.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00122,WESTERN DIVISION,SOUTHWEST ZONE,DENVER AP,DENVER INTL AP (02200-11),HLE,Service lot,2/2/2025,7:42 PM,811451,Service Agent,Third Party or Contractor Incident,No,2/4/2024,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Service lot led to splash exposure.,Process not error-proof,Warning signage absent or not visible from task position.,"Why was chemical splash during cleaning not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01934,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Service lot,4/19/2026,3:28 PM,380061,Mgr Customer Ops,Employee Incident,No,4/20/2025,Vehicle collision at intersection,Contusion/Bruise of Hand,MVA in Service lot involving Hertz vehicle. Third-party driver cited as at fault.,Unpredictable event (personal issue),Employee reported feeling unwell earlier in shift.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00844,WESTERN DIVISION,NORTH PACIFIC ZONE,SEATTLE AP,SEATTLE-TACOMA INTL (03100-12),AIRPORT,Employee entrance,8/2/2025,10:35 AM,674213,Mechanic B,Property Damage,No,8/2/2024,Struck head on low-hanging object,Burn of Hand,Unmarked low-hanging structure in Employee entrance caused head contact.,Poor Ergonomics,No ergonomic assessment completed for this task.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01139,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Breakroom,10/12/2025,7:35 PM,330074,Service Agent,Employee Incident,No,10/12/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Vehicle collision occurred at Breakroom intersection. Employee reported and vehicle assessed for damage.,Unpredictable event (motor vehicle accident another driver at fault),Third-party driver ran red light at intersection.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-00429,EASTERN DIVISION,SOUTHEAST ZONE,ATLANTA AP,ATLANTA AP (01450-11),AIRPORT,Maintenance bay,4/20/2025,11:07 AM,842470,Mechanic B,Customer Incident,No,4/22/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,Employee sustained back strain while lifting equipment in Maintenance bay.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was lifting heavy object caused back strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01088,CANADA,CA ALBERTA ZONE,EDMONTON,EDMONTON INTL AIRPORT (08120-11),AIRPORT,Employee entrance,9/29/2025,2:49 PM,792561,Transporter Car,Property Damage,No,9/29/2024,Door closed on hand/finger,Laceration of Finger,Vehicle door closed unexpectedly on employee's finger in Employee entrance.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
